incident_id,occurred_at,reported_at,category,subcategory,description,severity,status,latitude,longitude,state_code,district_code,station_code,source_dataset_id
DEMO-000046,2024-01-03T23:00:00,2024-01-04T01:00:00,Fraud,Fictional,SYNTHETIC: no real incident,critical,demo,12.298752,76.638197,KA,Mysuru,DEMO-STATION-2,synthetic-generator-v1
DEMO-000047,2024-01-07T20:00:00,2024-01-07T22:00:00,Fraud,Fictional,SYNTHETIC: no real incident,medium,demo,12.298665,76.639223,KA,Mysuru,DEMO-STATION-2,synthetic-generator-v1
DEMO-000048,2024-01-06T18:00:00,2024-01-06T20:00:00,Fraud,Fictional,SYNTHETIC: no real incident,critical,demo,12.295282,76.639907,KA,Mysuru,DEMO-STATION-2,synthetic-generator-v1
DEMO-000049,2024-01-06T11:00:00,2024-01-06T13:00:00,Fraud,Fictional,SYNTHETIC: no real incident,high,demo,12.296493,76.638515,KA,Mysuru,DEMO-STATION-2,synthetic-generator-v1
DEMO-000050,2024-01-01T21:00:00,2024-01-01T23:00:00,Fraud,Fictional,SYNTHETIC: no real incident,medium,demo,12.295334,76.642418,KA,Mysuru,DEMO-STATION-2,synthetic-generator-v1
DEMO-000051,2024-01-03T11:00:00,2024-01-03T13:00:00,Fraud,Fictional,SYNTHETIC: no real incident,medium,demo,12.291624,76.637965,KA,Mysuru,DEMO-STATION-2,synthetic-generator-v1
DEMO-000052,2024-01-06T08:00:00,2024-01-06T10:00:00,Fraud,Fictional,SYNTHETIC: no real incident,low,demo,12.295687,76.63554,KA,Mysuru,DEMO-STATION-2,synthetic-generator-v1
DEMO-000053,2024-01-07T09:00:00,2024-01-07T11:00:00,Fraud,Fictional,SYNTHETIC: no real incident,critical,demo,12.293787,76.638652,KA,Mysuru,DEMO-STATION-2,synthetic-generator-v1
DEMO-000054,2024-01-04T20:00:00,2024-01-04T22:00:00,Burglary,Fictional,SYNTHETIC: no real incident,medium,demo,12.296028,76.637796,KA,Mysuru,DEMO-STATION-2,synthetic-generator-v1
DEMO-000055,2024-01-02T19:00:00,2024-01-02T21:00:00,Burglary,Fictional,SYNTHETIC: no real incident,critical,demo,12.292581,76.636585,KA,Mysuru,DEMO-STATION-2,synthetic-generator-v1
DEMO-000056,2024-01-05T06:00:00,2024-01-05T08:00:00,Burglary,Fictional,SYNTHETIC: no real incident,low,demo,12.294981,76.640662,KA,Mysuru,DEMO-STATION-2,synthetic-generator-v1
DEMO-000057,2024-01-05T16:00:00,2024-01-05T18:00:00,Burglary,Fictional,SYNTHETIC: no real incident,medium,demo,12.29851,76.636077,KA,Mysuru,DEMO-STATION-2,synthetic-generator-v1
DEMO-000058,2024-01-06T08:00:00,2024-01-06T10:00:00,Burglary,Fictional,SYNTHETIC: no real incident,low,demo,12.295894,76.643189,KA,Mysuru,DEMO-STATION-2,synthetic-generator-v1
DEMO-000059,2024-01-01T19:00:00,2024-01-01T21:00:00,Burglary,Fictional,SYNTHETIC: no real incident,high,demo,12.296302,76.638485,KA,Mysuru,DEMO-STATION-2,synthetic-generator-v1
DEMO-000060,2024-01-03T16:00:00,2024-01-03T18:00:00,Burglary,Fictional,SYNTHETIC: no real incident,critical,demo,12.295019,76.640345,KA,Mysuru,DEMO-STATION-2,synthetic-generator-v1
DEMO-000061,2024-01-07T21:00:00,2024-01-07T23:00:00,Burglary,Fictional,SYNTHETIC: no real incident,medium,demo,12.296491,76.640933,KA,Mysuru,DEMO-STATION-2,synthetic-generator-v1
DEMO-000062,2024-01-06T02:00:00,2024-01-06T04:00:00,Burglary,Fictional,SYNTHETIC: no real incident,low,demo,12.293407,76.636938,KA,Mysuru,DEMO-STATION-2,synthetic-generator-v1
DEMO-000063,2024-01-05T21:00:00,2024-01-05T23:00:00,Burglary,Fictional,SYNTHETIC: no real incident,low,demo,12.294692,76.635374,KA,Mysuru,DEMO-STATION-2,synthetic-generator-v1
DEMO-000064,2024-01-04T13:00:00,2024-01-04T15:00:00,Burglary,Fictional,SYNTHETIC: no real incident,critical,demo,12.295935,76.644349,KA,Mysuru,DEMO-STATION-2,synthetic-generator-v1
DEMO-000065,2024-01-04T14:00:00,2024-01-04T16:00:00,Burglary,Fictional,SYNTHETIC: no real incident,high,demo,12.293235,76.635577,KA,Mysuru,DEMO-STATION-2,synthetic-generator-v1
DEMO-000066,2024-01-05T10:00:00,2024-01-05T12:00:00,Burglary,Fictional,SYNTHETIC: no real incident,medium,demo,12.293214,76.63817,KA,Mysuru,DEMO-STATION-2,synthetic-generator-v1
DEMO-000067,2024-01-02T18:00:00,2024-01-02T20:00:00,Burglary,Fictional,SYNTHETIC: no real incident,critical,demo,12.293782,76.642844,KA,Mysuru,DEMO-STATION-2,synthetic-generator-v1
DEMO-000068,2024-01-07T08:00:00,2024-01-07T10:00:00,Burglary,Fictional,SYNTHETIC: no real incident,critical,demo,12.296231,76.642268,KA,Mysuru,DEMO-STATION-2,synthetic-generator-v1
DEMO-000069,2024-01-05T19:00:00,2024-01-05T21:00:00,Burglary,Fictional,SYNTHETIC: no real incident,high,demo,12.297696,76.638185,KA,Mysuru,DEMO-STATION-2,synthetic-generator-v1
DEMO-000070,2024-01-01T18:00:00,2024-01-01T20:00:00,Theft,Fictional,SYNTHETIC: no real incident,critical,demo,12.912657,74.85181,KA,Mangaluru,DEMO-STATION-3,synthetic-generator-v1
DEMO-000071,2024-01-01T12:00:00,2024-01-01T14:00:00,Theft,Fictional,SYNTHETIC: no real incident,high,demo,12.91321,74.852398,KA,Mangaluru,DEMO-STATION-3,synthetic-generator-v1
DEMO-000072,2024-01-03T11:00:00,2024-01-03T13:00:00,Theft,Fictional,SYNTHETIC: no real incident,low,demo,12.909469,74.856114,KA,Mangaluru,DEMO-STATION-3,synthetic-generator-v1
DEMO-000073,2024-01-04T04:00:00,2024-01-04T06:00:00,Theft,Fictional,SYNTHETIC: no real incident,high,demo,12.915494,74.852818,KA,Mangaluru,DEMO-STATION-3,synthetic-generator-v1
DEMO-000074,2024-01-05T07:00:00,2024-01-05T09:00:00,Theft,Fictional,SYNTHETIC: no real incident,low,demo,12.915268,74.85526,KA,Mangaluru,DEMO-STATION-3,synthetic-generator-v1
DEMO-000075,2024-01-01T19:00:00,2024-01-01T21:00:00,Theft,Fictional,SYNTHETIC: no real incident,critical,demo,12.913424,74.855433,KA,Mangaluru,DEMO-STATION-3,synthetic-generator-v1
DEMO-000076,2024-01-07T20:00:00,2024-01-07T22:00:00,Theft,Fictional,SYNTHETIC: no real incident,critical,demo,12.91452,74.855655,KA,Mangaluru,DEMO-STATION-3,synthetic-generator-v1
DEMO-000077,2024-01-04T11:00:00,2024-01-04T13:00:00,Theft,Fictional,SYNTHETIC: no real incident,medium,demo,12.918272,74.858657,KA,Mangaluru,DEMO-STATION-3,synthetic-generator-v1
DEMO-000078,2024-01-04T03:00:00,2024-01-04T05:00:00,Theft,Fictional,SYNTHETIC: no real incident,critical,demo,12.916365,74.860747,KA,Mangaluru,DEMO-STATION-3,synthetic-generator-v1
DEMO-000079,2024-01-01T00:00:00,2024-01-01T02:00:00,Theft,Fictional,SYNTHETIC: no real incident,low,demo,12.916615,74.85704,KA,Mangaluru,DEMO-STATION-3,synthetic-generator-v1
DEMO-000080,2024-01-06T05:00:00,2024-01-06T07:00:00,Theft,Fictional,SYNTHETIC: no real incident,low,demo,12.916204,74.854027,KA,Mangaluru,DEMO-STATION-3,synthetic-generator-v1
DEMO-000081,2024-01-04T14:00:00,2024-01-04T16:00:00,Theft,Fictional,SYNTHETIC: no real incident,low,demo,12.918953,74.860872,KA,Mangaluru,DEMO-STATION-3,synthetic-generator-v1
DEMO-000082,2024-01-03T22:00:00,2024-01-04T00:00:00,Theft,Fictional,SYNTHETIC: no real incident,high,demo,12.90916,74.860565,KA,Mangaluru,DEMO-STATION-3,synthetic-generator-v1
DEMO-000083,2024-01-07T01:00:00,2024-01-07T03:00:00,Fraud,Fictional,SYNTHETIC: no real incident,high,demo,12.914955,74.854379,KA,Mangaluru,DEMO-STATION-3,synthetic-generator-v1
DEMO-000084,2024-01-01T17:00:00,2024-01-01T19:00:00,Fraud,Fictional,SYNTHETIC: no real incident,low,demo,12.914198,74.851173,KA,Mangaluru,DEMO-STATION-3,synthetic-generator-v1
DEMO-000085,2024-01-04T14:00:00,2024-01-04T16:00:00,Fraud,Fictional,SYNTHETIC: no real incident,critical,demo,12.913474,74.8555,KA,Mangaluru,DEMO-STATION-3,synthetic-generator-v1
DEMO-000086,2024-01-02T00:00:00,2024-01-02T02:00:00,Fraud,Fictional,SYNTHETIC: no real incident,critical,demo,12.9164,74.854772,KA,Mangaluru,DEMO-STATION-3,synthetic-generator-v1
DEMO-000087,2024-01-02T01:00:00,2024-01-02T03:00:00,Fraud,Fictional,SYNTHETIC: no real incident,high,demo,12.913741,74.858855,KA,Mangaluru,DEMO-STATION-3,synthetic-generator-v1
DEMO-000088,2024-01-03T11:00:00,2024-01-03T13:00:00,Fraud,Fictional,SYNTHETIC: no real incident,medium,demo,12.916052,74.852832,KA,Mangaluru,DEMO-STATION-3,synthetic-generator-v1
DEMO-000089,2024-01-05T23:00:00,2024-01-06T01:00:00,Fraud,Fictional,SYNTHETIC: no real incident,low,demo,12.909849,74.851888,KA,Mangaluru,DEMO-STATION-3,synthetic-generator-v1
DEMO-000090,2024-01-07T14:00:00,2024-01-07T16:00:00,Fraud,Fictional,SYNTHETIC: no real incident,low,demo,12.913142,74.854825,KA,Mangaluru,DEMO-STATION-3,synthetic-generator-v1
DEMO-000091,2024-01-06T12:00:00,2024-01-06T14:00:00,Fraud,Fictional,SYNTHETIC: no real incident,medium,demo,12.911372,74.855003,KA,Mangaluru,DEMO-STATION-3,synthetic-generator-v1
DEMO-000092,2024-01-04T19:00:00,2024-01-04T21:00:00,Fraud,Fictional,SYNTHETIC: no real incident,critical,demo,12.909708,74.851756,KA,Mangaluru,DEMO-STATION-3,synthetic-generator-v1
DEMO-000093,2024-01-04T21:00:00,2024-01-04T23:00:00,Burglary,Fictional,SYNTHETIC: no real incident,high,demo,12.912381,74.851167,KA,Mangaluru,DEMO-STATION-3,synthetic-generator-v1
DEMO-000094,2024-01-02T20:00:00,2024-01-02T22:00:00,Burglary,Fictional,SYNTHETIC: no real incident,low,demo,12.909776,74.858708,KA,Mangaluru,DEMO-STATION-3,synthetic-generator-v1
DEMO-000095,2024-01-04T05:00:00,2024-01-04T07:00:00,Burglary,Fictional,SYNTHETIC: no real incident,low,demo,12.914285,74.853024,KA,Mangaluru,DEMO-STATION-3,synthetic-generator-v1
DEMO-000096,2024-01-07T08:00:00,2024-01-07T10:00:00,Burglary,Fictional,SYNTHETIC: no real incident,low,demo,12.918194,74.858852,KA,Mangaluru,DEMO-STATION-3,synthetic-generator-v1
DEMO-000097,2024-01-04T22:00:00,2024-01-05T00:00:00,Burglary,Fictional,SYNTHETIC: no real incident,medium,demo,12.910137,74.860635,KA,Mangaluru,DEMO-STATION-3,synthetic-generator-v1
DEMO-000098,2024-01-06T15:00:00,2024-01-06T17:00:00,Burglary,Fictional,SYNTHETIC: no real incident,high,demo,12.914715,74.857843,KA,Mangaluru,DEMO-STATION-3,synthetic-generator-v1
DEMO-000099,2024-01-04T04:00:00,2024-01-04T06:00:00,Burglary,Fictional,SYNTHETIC: no real incident,low,demo,12.909207,74.855641,KA,Mangaluru,DEMO-STATION-3,synthetic-generator-v1
DEMO-000100,2024-01-04T02:00:00,2024-01-04T04:00:00,Burglary,Fictional,SYNTHETIC: no real incident,medium,demo,12.910047,74.853218,KA,Mangaluru,DEMO-STATION-3,synthetic-generator-v1
DEMO-000101,2024-01-05T14:00:00,2024-01-05T16:00:00,Burglary,Fictional,SYNTHETIC: no real incident,high,demo,12.917839,74.8578,KA,Mangaluru,DEMO-STATION-3,synthetic-generator-v1
DEMO-000102,2024-01-07T18:00:00,2024-01-07T20:00:00,Theft,Fictional,SYNTHETIC: no real incident,high,demo,15.369365,75.124401,KA,Hubballi,DEMO-STATION-4,synthetic-generator-v1
DEMO-000103,2024-01-05T02:00:00,2024-01-05T04:00:00,Theft,Fictional,SYNTHETIC: no real incident,medium,demo,15.362559,75.125412,KA,Hubballi,DEMO-STATION-4,synthetic-generator-v1
DEMO-000104,2024-01-06T17:00:00,2024-01-06T19:00:00,Theft,Fictional,SYNTHETIC: no real incident,critical,demo,15.364169,75.124841,KA,Hubballi,DEMO-STATION-4,synthetic-generator-v1
DEMO-000105,2024-01-07T11:00:00,2024-01-07T13:00:00,Theft,Fictional,SYNTHETIC: no real incident,low,demo,15.369118,75.122414,KA,Hubballi,DEMO-STATION-4,synthetic-generator-v1
DEMO-000106,2024-01-01T02:00:00,2024-01-01T04:00:00,Theft,Fictional,SYNTHETIC: no real incident,high,demo,15.363895,75.120569,KA,Hubballi,DEMO-STATION-4,synthetic-generator-v1
DEMO-000107,2024-01-02T05:00:00,2024-01-02T07:00:00,Theft,Fictional,SYNTHETIC: no real incident,high,demo,15.363556,75.121069,KA,Hubballi,DEMO-STATION-4,synthetic-generator-v1
DEMO-000108,2024-01-01T04:00:00,2024-01-01T06:00:00,Theft,Fictional,SYNTHETIC: no real incident,critical,demo,15.36531,75.123703,KA,Hubballi,DEMO-STATION-4,synthetic-generator-v1
DEMO-000109,2024-01-04T09:00:00,2024-01-04T11:00:00,Theft,Fictional,SYNTHETIC: no real incident,low,demo,15.36723,75.119766,KA,Hubballi,DEMO-STATION-4,synthetic-generator-v1
DEMO-000110,2024-01-07T00:00:00,2024-01-07T02:00:00,Theft,Fictional,SYNTHETIC: no real incident,critical,demo,15.368815,75.12899,KA,Hubballi,DEMO-STATION-4,synthetic-generator-v1
DEMO-000111,2024-01-01T07:00:00,2024-01-01T09:00:00,Theft,Fictional,SYNTHETIC: no real incident,low,demo,15.359894,75.121851,KA,Hubballi,DEMO-STATION-4,synthetic-generator-v1
DEMO-000112,2024-01-06T12:00:00,2024-01-06T14:00:00,Theft,Fictional,SYNTHETIC: no real incident,medium,demo,15.362976,75.1202,KA,Hubballi,DEMO-STATION-4,synthetic-generator-v1
DEMO-000113,2024-01-02T08:00:00,2024-01-02T10:00:00,Fraud,Fictional,SYNTHETIC: no real incident,high,demo,15.360247,75.124654,KA,Hubballi,DEMO-STATION-4,synthetic-generator-v1
DEMO-000114,2024-01-01T18:00:00,2024-01-01T20:00:00,Fraud,Fictional,SYNTHETIC: no real incident,low,demo,15.3653,75.125394,KA,Hubballi,DEMO-STATION-4,synthetic-generator-v1
DEMO-000115,2024-01-03T03:00:00,2024-01-03T05:00:00,Fraud,Fictional,SYNTHETIC: no real incident,high,demo,15.366416,75.125942,KA,Hubballi,DEMO-STATION-4,synthetic-generator-v1
DEMO-000116,2024-01-05T08:00:00,2024-01-05T10:00:00,Fraud,Fictional,SYNTHETIC: no real incident,medium,demo,15.359893,75.126424,KA,Hubballi,DEMO-STATION-4,synthetic-generator-v1
DEMO-000117,2024-01-05T01:00:00,2024-01-05T03:00:00,Fraud,Fictional,SYNTHETIC: no real incident,critical,demo,15.361437,75.122779,KA,Hubballi,DEMO-STATION-4,synthetic-generator-v1
DEMO-000118,2024-01-04T21:00:00,2024-01-04T23:00:00,Fraud,Fictional,SYNTHETIC: no real incident,critical,demo,15.368614,75.126693,KA,Hubballi,DEMO-STATION-4,synthetic-generator-v1
DEMO-000119,2024-01-03T09:00:00,2024-01-03T11:00:00,Fraud,Fictional,SYNTHETIC: no real incident,high,demo,15.368134,75.12408,KA,Hubballi,DEMO-STATION-4,synthetic-generator-v1
DEMO-000120,2024-01-04T03:00:00,2024-01-04T05:00:00,Burglary,Fictional,SYNTHETIC: no real incident,low,demo,15.361609,75.128258,KA,Hubballi,DEMO-STATION-4,synthetic-generator-v1
DEMO-000121,2024-01-03T08:00:00,2024-01-03T10:00:00,Burglary,Fictional,SYNTHETIC: no real incident,critical,demo,15.363582,75.128817,KA,Hubballi,DEMO-STATION-4,synthetic-generator-v1
DEMO-000122,2024-01-07T02:00:00,2024-01-07T04:00:00,Burglary,Fictional,SYNTHETIC: no real incident,high,demo,15.367425,75.128086,KA,Hubballi,DEMO-STATION-4,synthetic-generator-v1
DEMO-000123,2024-01-05T21:00:00,2024-01-05T23:00:00,Burglary,Fictional,SYNTHETIC: no real incident,medium,demo,15.365323,75.124664,KA,Hubballi,DEMO-STATION-4,synthetic-generator-v1
DEMO-000124,2024-01-03T15:00:00,2024-01-03T17:00:00,Burglary,Fictional,SYNTHETIC: no real incident,high,demo,15.369019,75.122625,KA,Hubballi,DEMO-STATION-4,synthetic-generator-v1
DEMO-000125,2024-01-03T03:00:00,2024-01-03T05:00:00,Burglary,Fictional,SYNTHETIC: no real incident,critical,demo,15.364592,75.124829,KA,Hubballi,DEMO-STATION-4,synthetic-generator-v1
DEMO-000126,2024-01-07T05:00:00,2024-01-07T07:00:00,Burglary,Fictional,SYNTHETIC: no real incident,medium,demo,15.363328,75.127269,KA,Hubballi,DEMO-STATION-4,synthetic-generator-v1
DEMO-000127,2024-01-02T21:00:00,2024-01-02T23:00:00,Burglary,Fictional,SYNTHETIC: no real incident,low,demo,15.363241,75.120297,KA,Hubballi,DEMO-STATION-4,synthetic-generator-v1
DEMO-000128,2024-01-04T10:00:00,2024-01-04T12:00:00,Burglary,Fictional,SYNTHETIC: no real incident,medium,demo,15.364517,75.125824,KA,Hubballi,DEMO-STATION-4,synthetic-generator-v1
DEMO-000129,2024-01-03T16:00:00,2024-01-03T18:00:00,Theft,Fictional,SYNTHETIC: no real incident,critical,demo,15.84843,74.499287,KA,Belagavi,DEMO-STATION-5,synthetic-generator-v1
DEMO-000130,2024-01-04T03:00:00,2024-01-04T05:00:00,Theft,Fictional,SYNTHETIC: no real incident,medium,demo,15.845921,74.500077,KA,Belagavi,DEMO-STATION-5,synthetic-generator-v1
DEMO-000131,2024-01-04T10:00:00,2024-01-04T12:00:00,Theft,Fictional,SYNTHETIC: no real incident,low,demo,15.852104,74.495951,KA,Belagavi,DEMO-STATION-5,synthetic-generator-v1
DEMO-000132,2024-01-03T05:00:00,2024-01-03T07:00:00,Theft,Fictional,SYNTHETIC: no real incident,medium,demo,15.84744,74.4951,KA,Belagavi,DEMO-STATION-5,synthetic-generator-v1
